User,Text,Date,Retweets,Favorites,HashTags,City
uves,These Days 90 % Population in India are selling Mask and Sanitizers to remaining 10 % #covid19 #lockdownbusiness #businessfromhome,2020-05-16 22:53:31+00:00,0,1,#covid19 #lockdownbusiness #businessfromhome,Mumbai
sirajnoorani,"884 new #COVID19 positive cases reported in #Mumbai on Saturday, taking the total number of cases to 18,396. Death toll stands at 696, reports ANI quoting Municipal Corporation, Greater Mumbai #BMC #MumbaiFightsCovid19 #CautionYesPanicNo",2020-05-16 21:24:09+00:00,0,0,#COVID19 #Mumbai #BMC #MumbaiFightsCovid19 #CautionYesPanicNo,Mumbai
sirajnoorani,"33 more #COVID19 positive cases have been reported in #Bihar, taking the total number of cases to 1178: Sanjay Kumar, State Principal Health Secretary",2020-05-16 21:23:06+00:00,0,0,#COVID19 #Bihar,Mumbai
sirajnoorani,"92 persons have tested positive for #COVID19 in Indore district today; taking the total number of positive cases to 2470. Death toll increased to 100 after one death was reported today: Praveen Jadia, #Indore Chief Medical Health Officer #MadhyaPradesh",2020-05-16 21:22:50+00:00,0,0,#COVID19 #Indore #MadhyaPradesh,Mumbai
sirajnoorani,Two persons from Guwahati test #COVID19 positive. Total positive cases rise to 94 in the state: #Assam Minister Himanta Biswa Sarma,2020-05-16 21:22:11+00:00,0,0,#COVID19 #Assam,Mumbai
sirajnoorani,"One person from Sonitpur district has tested #COVID19 positive. Total positive cases rise to 92 in #Assam: Himanta Biswa Sarma, State Minister",2020-05-16 21:22:00+00:00,0,0,#COVID19 #Assam,Mumbai
sirajnoorani,#Bihar: Test report of one person who passed away on May 15 turned out to be positive for #COVID19 yesterday in Khagaria. The deceased had returned from Maharashtra on May 13. His wife has also tested positive for COVID19. Death toll rises to 8 in the state.,2020-05-16 21:21:15+00:00,0,0,#Bihar #COVID19,Mumbai
superajnarayan,If you want something you never had You have to do something you've never done #lifelessons #lockdown #coronavirus #covid19 #covid_19 #covi̇d19 #covid #coronavirusmemes share your comments &amp; experiences @Diva… https://www.instagram.com/p/CAQzbzogNVc/?igshid=1x1yzqwshh5k8,2020-05-16 20:43:51+00:00,0,0,#lifelessons #lockdown #coronavirus #covid19 #covid_19 #covi #covid #coronavirusmemes,Mumbai
Sachins887999,How many of U Agree with this #thoughts #SundayThoughts #sundayvibes #SundayMorning #SundayMotivation #Sunday #COVID19 #Covid_19 #CoronaVirusUpdate PM Modi #NarendraModi @narendramodi @AmitShah @RahulGandhi @priyankagandhi @sambitswaraj,2020-05-16 19:08:36+00:00,1,1,#thoughts #SundayThoughts #sundayvibes #SundayMorning #SundayMotivation #Sunday #COVID19 #Covid_19 #CoronaVirusUpdate #NarendraModi,Mumbai
TheyahaE,Faces of Pune Will be out on 18th may. The yaha family #theyahaevents #eventing #emma #people #celebrities #eventmanagementcompany #Unity #positivity #wedding #pune #igpune #peoplesofpune #covid19 #pandemic #lockdown #india #Modi #20LakhCroreStimulus #StaySafeStayHome,2020-05-16 18:53:21+00:00,1,1,#theyahaevents #eventing #emma #people #celebrities #eventmanagementcompany #Unity #positivity #wedding #pune #igpune #peoplesofpune #covid19 #pandemic #lockdown #india #Modi #20LakhCroreStimulus #StaySafeStayHome,Mumbai
payaltalk,"Yup, but please concentrate on #Mumbai, we are in the pits, no beds for n hospitals and no places in crematoriums #COVID19 #Maharashtra",2020-05-16 18:34:43+00:00,0,1,#Mumbai #COVID19 #Maharashtra,Mumbai
Sachins887999, % True @narendramodi @PMOIndia @AmitShah @AmitShahOffice @CMOMaharashtra @OfficeofUT @BJP4India @ShivSena @INCIndia @NCPspeaks #COVID19 #Covid_19 #Lockdown3 #Lockdown4,2020-05-16 18:33:23+00:00,1,1,#COVID19 #Covid_19 #Lockdown3 #Lockdown4,Mumbai
mandarkeni,"They are dying almost everyday but sadly not of #Covid19, they are dying of poverty, hunger, helplessness &amp; negligence of government. #MigrantLabourersDying",2020-05-16 18:13:29+00:00,5,15,#Covid19 #MigrantLabourersDying,Mumbai
AnybodyCanHelp,There is no finer investment for anyone than offering food to the needy. & What's the Return?? Blessings which is counted in front of the Almighty. #FoodAid to 20 Families in Goregaon today by Team @AnybodyCanHelp in #COVID19 #lockdown days #Covid_19,2020-05-16 17:45:47+00:00,12,12,#FoodAid #COVID19 #lockdown #Covid_19,Mumbai
TriptiRTiwari,@MamataOfficial the Most Callous CM &amp; @OfficeofUT the Most Inefficient.. Two Huge Failures in this #COVID19 Phase..,2020-05-16 17:17:51+00:00,2,8,#COVID19,Mumbai
suryachaturvedi,Chasing the . . . #sun #sunrise #lake #clouds #travelphotography #covid19 #lockdown2020 #lockdown #lockdowndiaries #quarantine #stayhome #stayhome #stayhealthy #landscapephotography #landscape #yoga… https://www.instagram.com/p/CAQbgKip5C7/?igshid=1hmd4pxzyu2k8,2020-05-16 17:13:42+00:00,0,1,#sun #sunrise #lake #clouds #travelphotography #covid19 #lockdown2020 #lockdown #lockdowndiaries #quarantine #stayhome #stayhome #stayhome #stayhome #stayhealthy #landscapephotography #landscape #yoga,Mumbai
AshrafAhmedSha,Mumbai Lockdown Diaries: Online lessons and quiz sessions during spare times at home. #lockdown #Covid19 #pandemic #onlinequiz #elearing #IFS,2020-05-16 17:04:10+00:00,0,6,#lockdown #Covid19 #pandemic #onlinequiz #elearing #IFS,Mumbai
DibasBehera,"#HerdImmunity #COVID19 #CoronaWarriorsIndia God in earth, Service before self moto and serving for nation to again functional as earlier. Herd immunity can achieve by vaccine else by antibodies who recovered. @narendramodi ji, plan for it as this is need to do...",2020-05-16 17:01:58+00:00,0,0,#HerdImmunity #COVID19 #CoronaWarriorsIndia,Mumbai
tausifkokate,Pray For The Humanity... #LailatulQadr #COVID19 ,2020-05-16 17:01:44+00:00,0,7,#LailatulQadr #COVID19,Mumbai
Sachins887999,A Small Tribute From Our Team of #SionFriendCircle to our #CoronaWarriors @MumbaiPolice @CPMumbaiPolice @DGPMaharashtra who all R there out so that we can be #StaySafe during this #COVID19 #Covid_19 Thank U So much Sir Hope U Like this Tribute 4m our Side #JaiHind #JaiMaharashtra,2020-05-16 16:43:11+00:00,1,1,#SionFriendCircle #CoronaWarriors #StaySafe #COVID19 #Covid_19 #JaiHind #JaiMaharashtra,Mumbai
